datetime,geracao_solar_kwh,consumo_kwh,reserva_bateria_pct,temp_externa_c,temp_interna_c,radiacao_msv,oxigenio,energia,comunicacao,habitat,pressao,combustivel
2026-02-04 16:00,27.44,44.99,74.2,-96.9,24.3,0.269,1,1,1,1,1,1
2026-02-04 20:00,4.4,41.86,70.3,-118.9,25.6,0.192,1,1,0,1,1,1
2026-02-05 00:00,2.29,53.28,67.2,-127.5,22.7,0.154,1,1,1,1,1,1
2026-02-05 04:00,2.83,49.71,66.9,-102.7,19.3,0.125,1,1,1,1,1,0
2026-02-05 08:00,28.05,44.05,73.8,-124.7,23.5,0.14,1,1,1,1,1,1
2026-02-05 12:00,68.31,47.93,66.1,-102.0,20.6,0.264,1,0,1,1,1,1
2026-02-05 16:00,21.73,53.91,76.3,-90.5,22.0,0.133,1,1,1,1,1,1
2026-02-05 20:00,0.69,55.47,75.1,-124.7,26.0,0.136,1,1,1,1,1,1
2026-02-06 00:00,0.76,48.23,73.7,-95.6,19.6,0.125,1,1,1,1,1,1
2026-02-06 04:00,1.38,41.68,71.1,-106.0,23.3,0.295,1,1,1,1,1,1
2026-02-06 08:00,26.65,45.91,61.1,-94.1,25.7,0.224,1,1,1,1,1,1
2026-02-06 12:00,83.68,42.64,77.2,-107.3,21.6,0.271,1,1,1,1,1,1
2026-02-06 16:00,21.93,41.21,75.8,-109.7,23.4,0.225,1,1,1,1,1,1
2026-02-06 20:00,1.55,50.23,64.1,-97.7,22.8,0.198,1,1,1,1,1,1
2026-02-07 00:00,4.23,41.16,61.7,-112.6,22.2,0.252,1,1,1,1,1,1
2026-02-07 04:00,0.82,59.06,70.5,-98.7,24.0,0.142,1,1,1,1,1,1
2026-02-07 08:00,27.05,45.44,61.3,-101.5,23.0,0.119,1,1,1,1,1,1
2026-02-07 12:00,67.06,51.48,74.5,-120.9,22.6,0.111,1,1,1,1,1,1
2026-02-07 16:00,27.38,51.06,78.3,-100.4,21.9,0.18,1,1,1,1,1,1
2026-02-07 20:00,4.51,43.59,76.1,-90.7,25.7,0.117,1,1,1,1,1,1
2026-02-08 00:00,1.0,51.28,66.1,-105.1,22.2,0.248,1,1,1,1,1,1
2026-02-08 04:00,0.03,48.2,64.7,-116.1,24.9,0.319,1,0,1,1,1,1
2026-02-08 08:00,25.2,44.76,69.8,-127.6,26.0,0.278,1,1,1,1,1,1
2026-02-08 12:00,84.49,41.7,61.9,-124.7,24.7,0.119,1,1,1,1,1,1
2026-02-08 16:00,27.01,54.01,74.7,-117.3,20.9,0.119,1,1,1,1,1,1
2026-02-08 20:00,2.03,50.72,79.3,-121.7,21.2,0.166,1,1,1,1,1,1
2026-02-09 00:00,4.18,46.56,61.8,-120.1,21.5,0.228,1,1,1,1,1,1
2026-02-09 04:00,3.74,45.0,69.2,-97.8,20.0,0.103,1,1,1,1,1,1
2026-02-09 08:00,25.96,51.65,65.2,-97.5,19.2,0.116,1,1,1,1,1,1
2026-02-09 12:00,65.85,49.22,63.4,-107.0,24.8,0.199,1,1,1,1,1,1
2026-02-09 16:00,27.56,40.69,72.4,-120.2,21.1,0.203,1,1,1,1,1,1
2026-02-09 20:00,2.63,52.62,76.0,-98.2,25.9,0.295,1,1,1,1,1,1
2026-02-10 00:00,0.9,46.38,64.4,-94.2,24.4,0.115,1,1,1,1,1,1
2026-02-10 04:00,3.28,45.33,76.3,-93.3,19.4,0.349,1,1,1,1,1,1
2026-02-10 08:00,22.84,51.85,76.1,-102.1,25.4,0.107,1,1,1,1,1,1
2026-02-10 12:00,82.63,49.84,66.2,-110.4,19.6,0.158,1,1,0,1,1,1
2026-02-10 16:00,26.45,58.38,76.9,-117.1,19.2,0.247,1,1,1,1,1,1
2026-02-10 20:00,4.71,47.91,62.0,-117.9,20.0,0.139,1,1,1,1,1,1
2026-02-11 00:00,3.47,58.58,75.7,-121.1,23.1,0.144,1,1,1,1,1,1
2026-02-11 04:00,1.96,59.89,79.3,-128.7,23.2,0.33,1,1,1,1,1,1
2026-02-11 08:00,23.25,59.65,63.4,-94.6,19.6,0.277,1,1,1,1,1,1
2026-02-11 12:00,70.13,42.16,60.0,-114.6,24.1,0.342,1,1,1,1,1,1
2026-02-11 16:00,27.43,53.02,73.7,-123.5,19.5,0.311,1,1,1,1,1,1
2026-02-11 20:00,3.66,50.94,78.0,-126.3,23.2,0.253,1,1,1,1,1,1
2026-02-12 00:00,0.51,44.11,63.8,-102.1,24.1,0.282,1,1,1,1,1,1
2026-02-12 04:00,0.77,47.22,68.6,-118.2,23.6,0.25,1,1,1,1,1,1
2026-02-12 08:00,23.72,47.95,69.8,-103.6,19.6,0.236,1,1,1,1,1,1
2026-02-12 12:00,69.52,45.37,61.2,-99.9,23.7,0.121,1,1,1,1,1,1
2026-02-12 16:00,27.12,48.37,70.7,-95.3,22.3,0.32,1,1,1,1,1,1
2026-02-12 20:00,4.0,53.55,72.4,-125.2,24.3,0.143,1,1,1,1,1,1
2026-02-13 00:00,2.18,59.95,72.5,-96.6,20.8,0.328,1,1,1,1,1,1
2026-02-13 04:00,2.29,57.47,75.7,-105.1,22.7,0.205,1,1,1,1,1,1
2026-02-13 08:00,25.42,42.02,65.7,-108.6,21.4,0.203,1,1,1,1,1,1
2026-02-13 12:00,77.17,53.87,60.8,-94.4,21.3,0.159,1,1,1,1,1,1
2026-02-13 16:00,23.54,49.83,73.9,-126.1,25.1,0.134,1,1,1,1,1,1
2026-02-13 20:00,0.94,44.23,76.5,-100.4,24.3,0.317,1,1,1,1,1,1
2026-02-14 00:00,4.26,57.59,60.6,-122.3,24.8,0.309,1,1,1,1,1,1
2026-02-14 04:00,2.53,52.71,62.5,-128.8,21.6,0.249,1,1,1,1,1,1
2026-02-14 08:00,26.66,53.78,65.7,-114.5,20.1,0.243,1,1,1,1,1,1
2026-02-14 12:00,65.4,55.61,75.4,-129.6,25.4,0.262,1,1,1,1,1,1
2026-02-14 16:00,25.95,48.48,67.5,-116.1,20.8,0.217,1,1,1,1,1,1
2026-02-14 20:00,4.22,47.48,72.9,-105.6,21.1,0.127,1,1,1,1,1,1
2026-02-15 00:00,4.46,45.98,63.0,-99.4,25.3,0.301,1,1,1,1,1,1
2026-02-15 04:00,4.99,45.19,68.4,-114.5,19.2,0.277,1,1,1,1,1,1
2026-02-15 08:00,27.71,53.44,70.1,-96.2,24.9,0.319,1,1,1,1,1,1
2026-02-15 12:00,68.66,53.59,66.7,-126.4,21.5,0.286,1,1,1,1,1,1
2026-02-15 16:00,24.8,57.33,71.7,-92.2,19.5,0.322,1,1,1,1,1,1
2026-02-15 20:00,0.69,44.01,68.2,-107.2,25.3,0.214,1,1,1,1,1,1
2026-02-16 00:00,3.17,40.09,65.5,-99.6,20.2,0.291,1,1,1,1,1,1
2026-02-16 04:00,4.83,47.67,60.8,-122.0,21.6,0.104,1,1,1,1,1,1
2026-02-16 08:00,26.29,46.89,62.6,-114.7,23.1,0.142,1,1,1,1,1,1
2026-02-16 12:00,82.76,59.91,66.9,-93.9,21.5,0.147,1,1,1,1,1,1
2026-02-16 16:00,26.56,51.79,63.4,-115.3,23.6,0.109,1,1,1,1,1,1
2026-02-16 20:00,3.27,40.39,73.8,-113.3,21.7,0.237,1,1,1,1,1,1
2026-02-17 00:00,3.31,45.4,72.1,-124.5,24.8,0.126,1,1,1,1,1,1
2026-02-17 04:00,1.31,50.46,64.0,-101.9,21.1,0.11,1,1,1,1,0,1
2026-02-17 08:00,27.71,56.7,73.4,-124.0,19.6,0.228,1,1,1,1,1,1
2026-02-17 12:00,74.29,42.0,63.5,-128.4,21.0,0.3,1,1,1,1,1,1
2026-02-17 16:00,26.09,43.41,67.2,-112.5,23.4,0.32,1,1,1,1,1,1
2026-02-17 20:00,1.93,57.01,76.0,-104.0,24.6,0.128,1,1,1,1,1,1
